stop_lat,zone_id,stop_lon,stop_url,stop_id,stop_name,location_type,stop_code
49.8037218013,,-97.1777159285,https://winnipegtransit.com/stops/61171,61171,Eastbound Bridgeland at Poplar Point,0,61171
49.874569948,,-97.3206640972,https://winnipegtransit.com/stops/20414,20414,Northbound St Charles at Augier,0,20414
49.8733512913,,-97.3209847268,https://winnipegtransit.com/stops/20415,20415,Southbound St Charles at St. Charles Loop,0,20415
49.8840316321,,-97.1784105696,https://winnipegtransit.com/stops/10569,10569,Eastbound Portage at Dominion,0,10569
49.8836550536,,-97.1813481636,https://winnipegtransit.com/stops/10568,10568,Eastbound Portage at Sprague,0,10568
49.8230706958,,-97.0615047261,https://winnipegtransit.com/stops/51067,51067,Northbound Evelyne Reese at Warde,0,51067
49.8748602629,,-97.3208349649,https://winnipegtransit.com/stops/20413,20413,Southbound St Charles at Augier,0,20413
49.9422716519,,-97.1459554231,https://winnipegtransit.com/stops/30411,30411,Westbound Jefferson at Airlies East,0,30411
49.940491184,,-97.1403790963,https://winnipegtransit.com/stops/30413,30413,Westbound Jefferson at Teakwood,0,30413
49.941400435,,-97.1432291976,https://winnipegtransit.com/stops/30412,30412,Westbound Jefferson at Sinclair,0,30412
49.8650851092,,-97.1588899077,https://winnipegtransit.com/stops/10097,10097,Northbound Stafford at Fleet,0,10097
49.9402808486,,-97.1401641964,https://winnipegtransit.com/stops/30414,30414,Eastbound Jefferson at Teakwood,0,30414
49.942127375,,-97.1459330863,https://winnipegtransit.com/stops/30417,30417,Eastbound Jefferson at Airlies East,0,30417
49.9411995409,,-97.1430417938,https://winnipegtransit.com/stops/30416,30416,Eastbound Jefferson at Sinclair,0,30416
49.9433768074,,-97.1498157184,https://winnipegtransit.com/stops/30419,30419,Eastbound Jefferson at Tulip,0,30419
49.8664788752,,-97.1599919545,https://winnipegtransit.com/stops/10099,10099,Northbound Stafford at Warsaw,0,10099
49.8652171571,,-97.1592745288,https://winnipegtransit.com/stops/10098,10098,Southbound Stafford at Fleet,0,10098
49.8265048,,-97.0565563882,https://winnipegtransit.com/stops/51063,51063,Southbound De La Seigneurie at Warde,0,51063
49.8284338197,,-97.0482471034,https://winnipegtransit.com/stops/51062,51062,Westbound Warde at Lagimodiere,0,51062
49.7855333171,,-97.1527383389,https://winnipegtransit.com/stops/60662,60662,Northbound Baylor at Leeds,0,60662
49.9460435648,,-97.1899276838,https://winnipegtransit.com/stops/30639,30639,Westbound Inkster at Plymouth,0,30639
49.8579082375,,-97.1420767146,https://winnipegtransit.com/stops/10043,10043,Westbound Beresford at Cockburn,0,10043
49.9362006625,,-97.0469619685,https://winnipegtransit.com/stops/40364,40364,Eastbound Sun Valley at Kingsdale,0,40364
49.9366592697,,-97.0474869486,https://winnipegtransit.com/stops/40365,40365,Westbound Sun Valley at Hovingham,0,40365
